GeoID,pop,employed,pct_employed,income,bike,pct_bike,transit,pct_transit,pct_30m,pct_maleBachelor,houseAge,housingUnits,pct_male,pct_white,mdAge,mdRent,mdHouseValue,pct_renterOccupied
60750151002,1014,668,98.67060561,107167,45,6.923076923,166,25.53846154,55.19713262,45.43546695,31,856,52.07100592,46.94280079,40.7,2559,800800,57.92622134
60750152001,2035,1067,93.35083115,61058,0,0,511,49.18190568,49.05847374,25.57746479,68,1278,42.75184275,54.1031941,39.6,1460,1509600,88.84520885
60750152002,1390,864,95.15418502,122670,40,4.62962963,328,37.96296296,55.45685279,36.85106383,79,807,42.30215827,74.5323741,34,2133,2000000,74.69230769
60750152003,960,600,81.41112619,115268,32,5.614035088,145,25.43859649,57.96064401,42.47894103,47,514,61.66666667,81.45833333,37.4,1811,935400,54.47916667
60750153001,938,723,98.90560876,122292,23,3.198887344,261,36.30041725,39.60244648,35.30895334,79,482,50.10660981,69.08315565,35.6,2083,1500000,66.96132597
60750153002,1272,781,96.65841584,112813,52,6.709677419,311,40.12903226,47.94701987,27.56052142,79,559,42.05974843,66.35220126,35.8,2321,868800,65.48358474
60750154001,859,594,95.19230769,159029,39,6.565656566,80,13.46801347,19.140625,53.55987055,79,429,42.84051222,50.29103609,33.3,2653,960600,45.0523865
60750154002,1491,1138,98.6135182,150452,57,5.071174377,440,39.14590747,40.42163153,35.13513514,79,780,46.21059691,67.20321932,34.2,2601,942400,71.17845118
60750154003,1238,782,95.13381995,86500,20,2.557544757,331,42.32736573,46.54002714,23.06273063,67,800,47.89983845,64.94345719,35.9,1886,933700,69.38610662
60750154004,820,487,93.83429672,123679,0,0,144,29.5687885,48.48484848,44.92063492,66,441,46.58536585,61.58536585,41.4,2702,1205400,76.46341463
60750154005,1469,770,98.5915493,121322,19,2.519893899,253,33.55437666,50.79136691,37.98165138,79,729,45.67733152,79.23757658,37.4,1818,1460500,42.98425736
60750155001,1709,806,98.7745098,70489,0,0,439,54.46650124,44.48871182,32.89863663,51,1194,46.98654184,71.67934465,64.8,1176,738900,85.38785328
60750155002,1361,720,100,105136,0,0,220,30.55555556,55.64784053,16.05896043,45,985,41.44011756,45.40778839,52.5,1436,431300,89.41954445
60750155003,670,414,83.97565923,105136,0,0,141,34.05797101,66.1498708,14.77272727,55,362,47.31343284,56.26865672,49.3,1010,403400,68.47662142
60750156001,684,433,99.54022989,105625,25,6.097560976,169,41.2195122,57.67195767,39.50617284,61,354,45.32163743,37.71929825,38.4,2532,1605800,62.3880597
60750156002,1562,951,95.67404427,91486,24,2.547770701,207,21.97452229,49.3902439,36.15023474,79,644,45.39052497,69.33418694,27.9,1893,1125000,81.04993598
60750156003,990,457,91.76706827,68359,32,8.142493639,134,34.09669211,49.21052632,28.94424674,55,578,47.77777778,46.46464646,58.1,900,1281300,73.63636364
60750157001,1377,802,93.69158879,118352,33,4.114713217,199,24.81296758,61.29032258,51.00334448,61,688,67.75599129,64.48801743,34.8,1861,1331700,76.40728477
60750157002,2051,1404,97.2972973,103451,230,16.59451659,535,38.6002886,61.67913549,34.40514469,79,852,51.04826914,66.45538762,32.8,2050,1078400,65.40726202
60750157003,2287,1405,93.9171123,133295,25,1.779359431,502,35.72953737,65.76980568,35.35885167,70,903,47.31088763,53.9571491,37.3,2335,905400,67.99450549
60750157004,3662,1431,75.91511936,121369,19,1.336146273,489,34.38818565,41.17210682,42.30254351,79,401,39.78700164,52.51228837,19.3,2214,1207200,51.66666667
60750158011,503,166,95.40229885,42361,0,0,97,58.43373494,15.2866242,21.80685358,41,217,55.0695825,24.45328032,39.9,925,701400,48.90656064
60750158012,2299,1333,86.55844156,85511,91,6.878306878,580,43.83975813,40.0152439,31.64488017,48,1041,50.28273162,38.538495,37.3,1220,1070000,65.94171379
60750158013,1327,561,98.42105263,48125,71,12.93260474,186,33.87978142,61.34122288,25.76086957,55,574,47.55086662,48.53051997,35.2,911,1025000,83.98058252
60750158021,1957,1439,95.36116634,116550,205,14.3256464,567,39.62264151,53.18681319,46.06879607,79,835,59.37659683,64.0776699,31.3,1772,795500,81.35770235
60750158022,1549,1082,96.60714286,73839,38,3.512014787,511,47.22735675,61.39438085,34.48275862,79,846,54.61588121,69.85151711,39.4,1286,1072400,80.92105263
60750159001,1636,764,95.38077403,52059,64,8.544726302,278,37.11615487,54.91573034,41.62743779,51,931,57.33496333,47.24938875,54.7,1071,645300,44.69598965
